jumbotron:9
centered:9
btn:8
container:6
card:6
card-body:6
form-group:6
form-control:6
row:4
full-width:4
contact-inputs:3
btn-dark:3
col-sm-4:3
containerOnHome:2
btn-lg:2
mt-5:2
col-sm-8:2
fa:2
icon:2
btn-block:2
fab:2
fa-google:2
card-title:2
card-text:2
btn-primary:2
contact-container:1
contact-left:1
contact-left-title:1
contact-btn:1
contact-right:1
contact-container-bot:1
logo:1
display-3:1
lead:1
btn-light:1
fa-envelope:1
fa-key:1
container-fluid:1
list-group:1
list-group-item:1
list-group-item-action:1
lyket-counter:1
edit:1
delete:1
comment:1
bannerClass:1
bannerImg:1
middleBanner:1
textFundal:1
profileClass:1
imagineProfil:1
middleProfile:1
textProfil:1
social-block:1
card-img-top:1
